osm_id,longitude,latitude
node/5489548828,77.6925638,12.9370186
node/5489548829,77.6941046,12.9379632
node/5489548830,77.6913538,12.9353792
node/5489548831,77.6881567,12.9325271
node/5489548832,77.6850673,12.9298716
node/5489548833,77.6792421,12.9270653
node/5489548834,77.6753142,12.9252022
node/5489548835,77.6714181,12.923399
node/5489548836,77.6746879,12.9252778
node/5489548837,77.6785883,12.9271874
node/5489548838,77.6739602,12.9158582
node/5489548839,77.6698602,12.9185354
node/5489548840,77.6662878,12.9201422
node/5489548841,77.6676962,12.9220414
node/5489548842,77.6712791,12.9237025
node/5489548843,77.6740798,12.9249658
node/5489548844,77.6823057,12.928946
node/5489548845,77.6860417,12.9311052
node/5489548846,77.6890699,12.9337958
node/5489548847,77.6919926,12.9364942
node/5489548848,77.6947205,12.9385649
node/5489548849,77.6918348,12.9358814
node/5489548850,77.6887738,12.933071
node/5489548851,77.6857329,12.9303694
node/5489548852,77.6814659,12.9281253
node/5489548853,77.676051,12.9255579
node/5489548854,77.6720848,12.9237162
node/5489548855,77.66832,12.9219109
node/5489548856,77.6777283,12.9268274
node/5489548857,77.6749286,12.9150845
node/5489548858,77.6705645,12.9182968
node/5489548859,77.6669186,12.9198666
node/5489548860,77.6668049,12.9216363
node/5489548861,77.6706155,12.9234017
node/5489548862,77.6734944,12.9247183
node/5489548863,77.6854226,12.9305509
node/5489548864,77.6885786,12.9333505
node/5489548865,77.6914106,12.935965
node/5489548866,77.6949515,12.9392351
node/5489548867,77.692275,12.9362894
node/5489548868,77.6892477,12.9335084
node/5489548869,77.6864085,12.9309531
node/5489548870,77.682445,12.9286179
node/5489548871,77.6767963,12.9259325
node/5489548872,77.6728119,12.9240454
node/5489548873,77.6689714,12.9222146
node/5489548874,77.6770118,12.9264806
node/5489548875,77.6757516,12.9145792
node/5489548876,77.6713007,12.9179654
node/5489548877,77.6678307,12.9193896
node/5489548878,77.6670948,12.9214654
node/5489548879,77.6699107,12.9230822
node/5489548880,77.6728922,12.9244398
node/5489548881,77.6817902,12.9286988
node/5489548882,77.6847412,12.9301356
node/5489548883,77.6880113,12.9328308
node/5489548884,77.6909452,12.9355297
node/5489548885,77.6943643,12.9387026
node/5489548886,77.6927329,12.9367077
node/5489548887,77.6898115,12.934027
node/5489548888,77.6868886,12.931382
node/5489548889,77.6832079,12.9289649
node/5489548890,77.6775178,12.9262451
node/5489548891,77.6734494,12.92434
node/5489548892,77.6698582,12.9226823
node/5489548893,77.6761652,12.926008
node/5493654188,77.6813526,12.9282924
node/5493654189,77.6714829,12.9236229
node/5493654190,77.6678401,12.922044
node/5493654191,77.6722074,12.9239279
node/5493654192,77.6685462,12.9222368
node/5493654193,77.6728258,12.9241992
node/5493654194,77.6692168,12.9225568
node/5493654195,77.6794994,12.9273861
node/5493654196,77.6699438,12.9229012
node/5493654197,77.6802675,12.9277573
node/5493654198,77.6706232,12.9232241
node/5493654199,77.681127,12.9281818
node/5493654200,77.6712515,12.9235101
node/5493654201,77.6677414,12.9218613
node/5493654202,77.6720021,12.9238455
node/5493654203,77.6682979,12.9221267
node/5493654204,77.6725962,12.9241082
node/5493654205,77.6689804,12.9224335
node/5493654206,77.6732841,12.9244184
node/5493654207,77.6697354,12.9228027
node/5493654208,77.6800014,12.9276265
node/5493654209,77.6704028,12.9231326
