osm_id,longitude,latitude
node/3837008466,77.6350613,12.9797733
node/3837008467,77.6351254,12.9800373
node/3837008468,77.6351771,12.9803037
node/3837008469,77.6352501,12.9804044
node/3837012431,77.6372758,12.9790523
node/3837012432,77.6372669,12.9792681
node/3837012434,77.638331,12.9802396
node/3837015789,77.6333943,12.9780767
node/3837015790,77.6335198,12.9780868
node/3837023893,77.6336835,12.9780895
node/3837023894,77.6340734,12.9780904
node/3837023896,77.6339655,12.9782477
node/3837023897,77.6342968,12.9782634
node/3837023898,77.6345723,12.9782723
node/3837027698,77.6383528,12.9805663
node/3837027699,77.6383393,12.9808919
node/3837027700,77.6383173,12.9813452
node/3837027701,77.638292,12.9816834
node/3837027702,77.6382683,12.9819901
node/3837027703,77.6381879,12.9827066
node/3837027704,77.6382254,12.98282
node/3837027705,77.6381499,12.9831016
node/3837027706,77.6382447,12.9831478
node/3837030332,77.6397438,12.9798842
node/3837030335,77.6401878,12.9799986
node/3837030336,77.6396953,12.9800157
node/3837030337,77.6401905,12.9804141
node/3837030338,77.6401986,12.9806521
node/3837031333,77.6356056,12.9781436
node/3837031334,77.6358545,12.9781471
node/3837031335,77.6361104,12.9781575
node/3837031336,77.6363344,12.9781661
node/3837031337,77.6365903,12.9781679
node/3837031338,77.6354137,12.9783012
node/3837031340,77.6365459,12.9783116
node/3837031341,77.6357709,12.9783133
node/3837031342,77.6362935,12.9783151
node/3837031343,77.6360056,12.9783237
node/3837031344,77.6367219,12.9783324
node/3837049737,77.6387753,12.9790033
node/3837049738,77.6387653,12.9792034
node/3837049739,77.6387633,12.9794202
node/3837049740,77.6387513,12.9796604
node/3837051275,77.6330244,12.978078
node/3837051276,77.6333312,12.9782257
node/3837051277,77.6331262,12.9782282
node/3837051278,77.6335412,12.9782356
node/3837051279,77.6331097,12.9784229
node/3837051280,77.6331988,12.9785681
node/3837051281,77.6333083,12.9786239
node/3837051282,77.6333834,12.9786239
node/3837051283,77.6335934,12.9786313
node/3837051284,77.6339079,12.9786462
node/3837051285,77.633158,12.9786797
node/3837051286,77.6332586,12.9790804
node/3837051287,77.6333152,12.979356
node/3837051288,77.6333854,12.9796051
node/3837057647,77.6337147,12.9788092
node/3837057648,77.6338065,12.9793145
node/3837057649,77.6338303,12.9795116
node/3837057650,77.6339374,12.9795729
node/3837057651,77.633866,12.9797469
node/3837057652,77.6338898,12.9799175
node/3837057653,77.6335252,12.9800063
node/3837057654,77.6340038,12.9800658
node/3837057655,77.6339305,12.9800963
node/3837057656,77.6336071,12.9803403
node/3837059658,77.634094,12.9806609
node/3837059659,77.6336653,12.9806659
node/3837059660,77.6338715,12.9806996
node/3837059661,77.6336402,12.9807911
node/3837069295,77.6341409,12.9786562
node/3837069300,77.634172,12.9788773
node/3837069301,77.6342094,12.9791473
node/3837069302,77.6342034,12.9795079
node/3837069303,77.634516,12.9795887
node/3837069304,77.6343008,12.9800773
node/3837069305,77.634605,12.9800784
node/3837085920,77.6345036,12.9786669
node/3837085921,77.6345257,12.9788773
node/3837085922,77.6345614,12.9790761
node/3837085923,77.6346056,12.9793362
node/3837085924,77.6346464,12.9795599
node/3837085925,77.6346702,12.9797587
node/4052928025,77.5958675,12.9186189
node/4052928028,77.5958745,12.9188672
node/4062942992,77.6298394,12.9446066
node/4062957402,77.6297534,12.9445263
node/4062957403,77.6294936,12.9445402
node/4062957404,77.6297068,12.9448964
node/4062957405,77.6296011,12.9451077
node/4062957406,77.6295294,12.945319
node/4062957408,77.6294363,12.9455198
node/4062957413,77.6292213,12.9458707
node/4062957414,77.6290511,12.9461519
node/4062957415,77.6289812,12.9462863
node/4062971155,77.62894,12.9463335
node/4063559084,77.6289324,12.945313
node/4063559085,77.6289451,12.9457253
node/4063568049,77.628928,12.9450203
node/4101505928,77.6464019,12.9791954
node/4101517643,77.6431148,12.9791787
node/4101517874,77.6462451,12.9792012
node/4101520224,77.6460335,12.9791814
node/4101529699,77.6456391,12.9791626
node/4101541446,77.6445436,12.9790825
node/4101541447,77.6443838,12.9791183
node/4101541448,77.6455762,12.9791208
node/4101541450,77.6446617,12.9791313
node/4101541453,77.6447824,12.9791365
node/4101541457,77.6451506,12.9791552
node/4101543798,77.6387522,12.9799883
