osm_id,crossing_type,signals,markings,crossing_island,tactile_paving,longitude,latitude
node/4058224855,traffic_signals,,zebra,,,77.5940701,12.9722594
node/4058224860,,,,,,77.59374,12.9723462
node/4058226163,,,,,,77.6060432,12.9713844
node/4127931105,traffic_signals,,,,,77.5799433,12.9480131
node/4159727916,uncontrolled,,no,no,no,77.7141563,12.967664
node/4159737484,unmarked,,no,,,77.7036585,12.9745386
node/4219267230,unmarked,,,,,77.5416326,12.9321489
node/4227954766,,,,,,77.6173045,12.9884615
node/4227954767,,,,,,77.617353,12.9885214
node/4282467250,unmarked,,no,,,77.6203384,12.9490254
node/4318640432,traffic_signals,,zebra,,,77.6078317,12.9752163
node/4326443943,uncontrolled,,zebra,,,77.6169283,12.9729751
node/4326443944,uncontrolled,,zebra,,,77.6169552,12.9730798
node/4326444331,uncontrolled,,yes,,,77.6151679,12.9733747
node/4326444332,uncontrolled,,yes,,,77.615193,12.973487
node/4345450911,marked,,yes,,,77.6230445,12.9814962
node/4345450912,uncontrolled,,yes,,,77.6231855,12.9815767
node/4345450913,marked,,yes,,,77.6229016,12.9815772
node/4345450915,marked,,yes,,,77.6230486,12.9818137
node/4558992267,,no,yes,no,,77.6491264,12.9599187
node/4558992268,,yes,,,,77.6490995,12.9599228
node/4562270099,traffic_signals,,zebra,,,77.6016742,12.9765205
node/4562270100,traffic_signals,,zebra,,,77.6016783,12.976632
node/4562270103,marked,,,no,,77.6025241,12.9762878
node/4562270105,traffic_signals,,zebra,,,77.6019565,12.9765136
node/4562270106,traffic_signals,,zebra,,,77.6019835,12.9766328
node/4562270112,uncontrolled,,,,,77.6003046,12.9767656
node/4562270114,traffic_signals,,zebra,,,77.6017845,12.9767363
node/4567865866,zebra,,,,,77.6459681,12.9101233
node/4720411944,traffic_signals,,,,,77.585454,12.9542115
node/4960830659,traffic_signals,,zebra,,,77.5976457,12.980613
node/4979669565,traffic_signals,,zebra,,,77.5973943,12.9806411
node/4979669566,traffic_signals,,zebra,,,77.5975229,12.9806945
node/4979669584,uncontrolled,,zebra,,,77.5969137,12.9811431
node/5239824078,uncontrolled,,,,,77.7094416,12.8949609
node/5279022344,marked,,,,,77.6133866,13.0483275
node/5318016643,,,,,,77.6042173,13.0123544
node/5346843791,,,,,,77.5894364,12.9183625
node/5346843792,,,,,,77.5894387,12.9186223
node/5354313610,,,,,,77.5857637,12.9064976
node/5503164665,zebra,,,,,77.6942682,12.9693902
node/5503456922,uncontrolled,,zebra,,,77.6937611,12.98333
node/5558663805,,,,,,77.5887795,12.990402
node/5630066091,uncontrolled,,,,,77.6414567,12.9547117
node/5772248544,uncontrolled,,zebra,,,77.6445296,12.9119297
node/5774329558,traffic_signals,yes,yes,no,no,77.6381902,12.9123377
node/5774329559,traffic_signals,yes,zebra,,,77.6380062,12.9123413
node/5774329561,uncontrolled,yes,yes,,,77.6381248,12.9122096
node/5776776198,,,,,,77.6837172,12.9086163
node/5776776205,,no,,,,77.6844824,12.9106487
node/5776814984,uncontrolled,,ladder,,,77.6821679,12.9064267
node/5841552614,uncontrolled,,zebra,,,77.6382521,12.9144818
node/5961493016,uncontrolled,,zebra,,,77.6516287,12.917332
node/5961754438,unmarked,,no,,,77.6490322,12.9119961
node/6033543671,uncontrolled,,ladder,,,77.4752748,13.0561804
node/6081898591,unmarked,,no,,,77.7115229,12.9719743
node/6088214822,unmarked,,no,,,77.7164756,12.9675206
