osm_id,lit,highway,geometry_type,geometry
way/323961215,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5713203, 12.9899473], [77.5712481, 12.9900464], [77.5706988, 12.9908004], [77.570577, 12.9909676], [77.5705534, 12.9909512], [77.5705084, 12.9909202], [77.5703232, 12.990792], [77.5709919, 12.989874], [77.5710664, 12.9897717], [77.5713203, 12.9899473]]]}"
way/323961216,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5667613, 12.9758661], [77.5667426, 12.976053], [77.5668146, 12.976062], [77.5668061, 12.9761518], [77.5667979, 12.976311], [77.5663774, 12.9762685], [77.5664031, 12.9760208], [77.5648113, 12.9758697], [77.56483, 12.9756828], [77.5649831, 12.9756973], [77.564993, 12.9756201], [77.5652674, 12.9755667], [77.5653721, 12.9757342], [77.5667613, 12.9758661]]]}"
way/323961217,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5747388, 12.9676204], [77.5745104, 12.9676275], [77.5744714, 12.9659372], [77.5746967, 12.9659398], [77.5747152, 12.9668928], [77.5748664, 12.9668882], [77.5748866, 12.9675116], [77.5747354, 12.9675162], [77.5747388, 12.9676204]]]}"
way/326551317,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5495945, 13.0236095], [77.5495812, 13.0235874], [77.5493855, 13.0236994], [77.5492984, 13.0235549], [77.5495059, 13.0234362], [77.5494572, 13.0233553], [77.5494962, 13.023333], [77.549541, 13.0233074], [77.5495867, 13.0232812], [77.5496973, 13.023218], [77.5497615, 13.0231813], [77.5496499, 13.0229961], [77.5496866, 13.0229751], [77.5497296, 13.0229505], [77.5498412, 13.0231356], [77.5500243, 13.0230309], [77.5500684, 13.0230057], [77.5501045, 13.022985], [77.5501663, 13.0229496], [77.5501996, 13.0230049], [77.5503862, 13.0228981], [77.5504889, 13.0230686], [77.5503019, 13.0231756], [77.5503128, 13.0231936], [77.5502525, 13.0232281], [77.5502424, 13.0232114], [77.5496386, 13.0235569], [77.5496509, 13.0235772], [77.5495945, 13.0236095]]]}"
way/327534061,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6066096, 12.9752719], [77.6065011, 12.9748459], [77.6066004, 12.9748219], [77.6066481, 12.9748103], [77.6067042, 12.9747968], [77.6068127, 12.9752228], [77.6067624, 12.9752349], [77.6066829, 12.9752542], [77.6066616, 12.9752593], [77.6066096, 12.9752719]]]}"
way/331975434,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5698747, 12.8954064], [77.5699371, 12.8954761], [77.5700219, 12.8954039], [77.5703191, 12.895736], [77.5702769, 12.8957719], [77.5702318, 12.8958103], [77.5703231, 12.8959123], [77.5704006, 12.8958464], [77.5706131, 12.8960838], [77.5708487, 12.8963471], [77.5708054, 12.8963839], [77.5707645, 12.8964187], [77.57072, 12.8963691], [77.5704793, 12.8965739], [77.5703968, 12.8964817], [77.5702849, 12.8965769], [77.5700031, 12.896262], [77.5700615, 12.8962123], [77.5701174, 12.8961648], [77.5698619, 12.8958794], [77.5698061, 12.8959269], [77.5694924, 12.8955764], [77.5695226, 12.8955507], [77.5695512, 12.8955264], [77.56963, 12.8956144], [77.5698747, 12.8954064]]]}"
way/331975435,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5799482, 12.9386509], [77.5798731, 12.9386511], [77.5798723, 12.9382838], [77.5798249, 12.9382833], [77.5798237, 12.9381841], [77.5798386, 12.9381844], [77.5798822, 12.9381853], [77.5798826, 12.9378971], [77.5799036, 12.937897], [77.5799671, 12.9378969], [77.5799666, 12.9376624], [77.5801766, 12.9376619], [77.5801772, 12.9379242], [77.5802177, 12.9379241], [77.5802456, 12.9379241], [77.5802419, 12.9382236], [77.5802205, 12.9383217], [77.5802172, 12.9385916], [77.5803071, 12.9385921], [77.580308, 12.9386687], [77.5801712, 12.938669], [77.5801718, 12.938914], [77.5799488, 12.9389145], [77.5799482, 12.9386509]]]}"
way/331975437,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5803882, 12.9290091], [77.5803872, 12.9292989], [77.5803848, 12.9299807], [77.5802937, 12.9299804], [77.5802929, 12.9302032], [77.5800703, 12.9302024], [77.5800711, 12.9299768], [77.5800156, 12.9299766], [77.5799795, 12.9299765], [77.5799824, 12.9291818], [77.5800839, 12.9291822], [77.5800847, 12.9289593], [77.5802994, 12.9289601], [77.5802993, 12.9290088], [77.5803242, 12.9290089], [77.5803882, 12.9290091]]]}"
way/331975438,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5730565, 12.9071467], [77.5729509, 12.907134], [77.5730081, 12.9066805], [77.5730097, 12.906668], [77.5731091, 12.9066799], [77.5730951, 12.9067913], [77.5731013, 12.906792], [77.5733889, 12.9068265], [77.5733489, 12.9071438], [77.5733986, 12.9071497], [77.5734008, 12.9071324], [77.573411, 12.9070516], [77.5735058, 12.907063], [77.573494, 12.907157], [77.5734441, 12.9075522], [77.5733627, 12.9075425], [77.5733691, 12.9074923], [77.5733993, 12.9072527], [77.5733264, 12.907244], [77.5732554, 12.9078069], [77.5733494, 12.9078144], [77.5733471, 12.9078543], [77.5733669, 12.9078543], [77.5733565, 12.9079455], [77.5733052, 12.9079439], [77.5732763, 12.9080896], [77.5732787, 12.9081746], [77.5731955, 12.9081785], [77.5731958, 12.9081569], [77.5731962, 12.9081312], [77.5729234, 12.9080985], [77.572915, 12.9081653], [77.5728555, 12.9081582], [77.5727992, 12.9081514], [77.5728121, 12.908049], [77.5728525, 12.9080538], [77.5728915, 12.9077446], [77.5729669, 12.9077536], [77.5730047, 12.9074547], [77.572868, 12.9074383], [77.5728813, 12.907333], [77.5730307, 12.9073509], [77.5730565, 12.9071467]]]}"
way/335169523,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5570486, 12.9986088], [77.5570566, 12.9986463], [77.5569834, 12.9986612], [77.5569754, 12.9986237], [77.556565, 12.9987072], [77.5565487, 12.9986322], [77.5563236, 12.9986771], [77.5562939, 12.9984958], [77.5565206, 12.9984606], [77.5565149, 12.9984444], [77.5564988, 12.9983704], [77.5568303, 12.9983122], [77.5568189, 12.9982538], [77.5572474, 12.9981747], [77.5572595, 12.9982367], [77.5573203, 12.998226], [77.5573347, 12.9982947], [77.5575447, 12.9982327], [77.5576173, 12.9984824], [77.557456, 12.9985215], [77.5574704, 12.9986324], [77.557223, 12.9986814], [77.5571974, 12.9985784], [77.5570486, 12.9986088]]]}"
way/335704464,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5799534, 12.9456636], [77.5801601, 12.9456647], [77.5801587, 12.9459025], [77.580305, 12.9459032], [77.5803036, 12.9461728], [77.5801587, 12.9461721], [77.5801583, 12.9462395], [77.5801928, 12.9462397], [77.5802402, 12.9462399], [77.5802378, 12.9466804], [77.580154, 12.94668], [77.5801526, 12.9469371], [77.5799458, 12.9469361], [77.5799471, 12.9466989], [77.5798514, 12.9466984], [77.579854, 12.946242], [77.5799518, 12.9462425], [77.5799522, 12.9461607], [77.5799026, 12.9461605], [77.5798543, 12.9461602], [77.5798547, 12.9460848], [77.5797903, 12.9460845], [77.5797921, 12.9457701], [77.5798296, 12.9457703], [77.579886, 12.9457706], [77.5798854, 12.9458854], [77.5799522, 12.9458857], [77.5799534, 12.9456636]]]}"
way/340241107,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6341385, 12.9822167], [77.6337987, 12.9821835], [77.6338159, 12.9820165], [77.6341557, 12.9820498], [77.6341385, 12.9822167]]]}"
way/343247556,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5488262, 13.0076067], [77.548845, 13.0077359], [77.5489437, 13.0077222], [77.5489526, 13.0077837], [77.5490784, 13.0077663], [77.5490936, 13.0078706], [77.5489669, 13.0078881], [77.5490516, 13.0084716], [77.5489552, 13.0084849], [77.5489742, 13.0086157], [77.5490093, 13.0086108], [77.5490122, 13.0086304], [77.5491314, 13.008614], [77.5491434, 13.0086964], [77.5490201, 13.0087134], [77.5490375, 13.0088337], [77.5488212, 13.0088635], [77.5487916, 13.0086599], [77.5486981, 13.0086728], [77.5486339, 13.0082309], [77.5485408, 13.0082437], [77.5484883, 13.0078822], [77.5485886, 13.0078684], [77.548574, 13.0077678], [77.5486588, 13.0077561], [77.5486408, 13.0076323], [77.5488262, 13.0076067]]]}"
way/347060350,no,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.463086, 12.8944134], [77.4634683, 12.8947446], [77.4631133, 12.8951339], [77.462731, 12.8948027], [77.463086, 12.8944134]]]}"
way/348082938,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6968137, 12.9357329], [77.696959, 12.9357143], [77.696986, 12.9359149], [77.6968408, 12.9359335], [77.6968137, 12.9357329]]]}"
