osm_id,road_type,foot_access,surface,width,lit,sidewalk,crossing_count,street_lamp_count,lit_feature_count,crossing_density,lamp_density,lit_feature_density,road_type_score,surface_score,foot_access_score,explicit_lit_score,width_score,sidewalk_known,sidewalk_positive,pedestrian_infrastructure_score,crossing_score,lighting_score,pseudo_safety_score,safety_label
way/1345699531,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1345699532,footway,,,,,,1,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1345699533,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1345699534,footway,,,,,,0,2,0,0.0,1.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.625,49.625,high
way/1345699535,footway,,,,,,1,0,1,1.0,0.0,1.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.375,68.37500000000001,high
way/1345699536,footway,,,,,,0,6,0,0.0,1.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.625,49.625,high
way/1345699537,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1345699538,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1345699539,footway,,,,,,2,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1345699540,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1345699541,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1345699542,footway,,,,,,1,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1345699544,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1345699545,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1345699546,footway,,,,,,1,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1345699547,footway,,,,,,0,2,0,0.0,1.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.625,49.625,high
way/1345699548,footway,,,,,,1,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1345701297,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1345701298,footway,,paving_stones,,,,0,0,0,0.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,0.0,0.075,40.875,medium
way/1345701299,footway,,,,,,1,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1345701300,footway,yes,paving_stones,,,,0,0,0,0.0,0.0,0.0,0.9,1.0,1.0,0.5,0.5,0,0,0.905,0.0,0.075,47.125,high
way/1345701301,footway,,,,,,1,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1345701302,footway,,paving_stones,,,,0,0,0,0.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,0.0,0.075,40.875,medium
way/1345701303,footway,,,,,,1,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1345701304,footway,,paving_stones,,,,0,0,0,0.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,0.0,0.075,40.875,medium
way/1345701305,footway,,asphalt,,,,1,0,0,1.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,1.0,0.075,65.875,high
way/1345701306,footway,,,,,,1,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1345701307,footway,,paving_stones,,,,0,0,0,0.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,0.0,0.075,40.875,medium
way/1345701308,footway,,,,,,1,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1345701309,footway,,paving_stones,,,,0,0,0,0.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,0.0,0.075,40.875,medium
way/1345701310,footway,,,,,,1,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1345701311,footway,,paving_stones,,,,0,0,0,0.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,0.0,0.075,40.875,medium
way/1345701312,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1345701313,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1345701314,footway,,,,,,2,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1346108509,path,,paving_stones,,,,2,0,0,1.0,0.0,0.0,0.75,1.0,0.5,0.5,0.5,0,0,0.7125000000000001,1.0,0.075,62.500000000000014,high
way/1346108510,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346108511,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346108512,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346108513,path,,paving_stones,,,,0,0,0,0.0,0.0,0.0,0.75,1.0,0.5,0.5,0.5,0,0,0.7125000000000001,0.0,0.075,37.50000000000001,medium
way/1346108514,path,,paving_stones,,,,1,0,0,1.0,0.0,0.0,0.75,1.0,0.5,0.5,0.5,0,0,0.7125000000000001,1.0,0.075,62.500000000000014,high
way/1346108515,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346108516,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346109470,path,,,,,,0,4,0,0.0,1.0,0.0,0.75,0.5,0.5,0.5,0.5,0,0,0.6125,0.0,0.625,46.25,high
way/1346135017,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346181442,footway,,asphalt,,yes,,0,0,1,0.0,0.0,1.0,0.9,1.0,0.5,1.0,0.5,0,0,0.78,0.0,0.44999999999999996,50.24999999999999,high
way/1346181443,footway,,,,,,2,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1346181444,footway,,,,,,2,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1346181445,footway,,,,,,2,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1346181446,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346181447,footway,,asphalt,,,,2,0,0,1.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,1.0,0.075,65.875,high
way/1346181448,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346185787,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346185788,footway,,asphalt,,,,2,0,0,1.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,1.0,0.075,65.875,high
way/1346185789,footway,,,,,,0,1,0,0.0,1.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.625,49.625,high
way/1346185790,footway,,,,,,0,3,2,0.0,1.0,1.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.925,57.125,high
way/1346336037,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346336038,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346336040,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346336041,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346336042,footway,,,,,,1,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1346336043,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346336044,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346336045,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346336046,footway,,asphalt,,,,1,0,0,1.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,1.0,0.075,65.875,high
way/1346336051,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346336052,footway,,,,,,1,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1346336053,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346336054,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346336055,footway,,asphalt,,,,1,0,0,1.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,1.0,0.075,65.875,high
way/1346336056,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346336057,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346336058,footway,,,,,,2,0,1,1.0,0.0,1.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.375,68.37500000000001,high
way/1346336059,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346337591,footway,,paving_stones,,,,0,0,0,0.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,0.0,0.075,40.875,medium
way/1346337592,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346337593,footway,,,,,,2,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1346337594,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346337595,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346337596,footway,,,,,,2,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1346337597,footway,,paving_stones,,,,0,0,0,0.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,0.0,0.075,40.875,medium
way/1346337598,footway,,,,,,2,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1346337599,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346337600,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346337601,footway,,,,,,2,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1346337602,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346340999,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1346341000,footway,,,,,,1,0,0,1.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,1.0,0.075,60.875000000000014,high
way/1346341001,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
