osm_id,road_type,foot_access,sidewalk,lit,surface,width,geometry_type,geometry
way/1125144622,pedestrian,,,,concrete,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5926187, 12.9556027], [77.5926386, 12.9555881], [77.5926463, 12.9555535], [77.5927073, 12.9555093], [77.5927427, 12.9554558], [77.5927717, 12.9554573], [77.5928081, 12.9554557], [77.5928246, 12.9554452], [77.5928344, 12.9554344], [77.5928468, 12.955403], [77.5928608, 12.9553886], [77.5928719, 12.9553743], [77.5928801, 12.95536], [77.592887, 12.955352], [77.5928944, 12.9553478], [77.5929167, 12.9553397], [77.5929366, 12.9553354], [77.5929653, 12.9553307], [77.5929933, 12.9553239], [77.5930144, 12.9553168], [77.5930412, 12.955304], [77.5930632, 12.9552855], [77.5930946, 12.9552402], [77.5931167, 12.9552024], [77.5931327, 12.9551854], [77.593161, 12.9551657], [77.5931916, 12.9551462], [77.5932032, 12.9551394], [77.5932138, 12.9551333], [77.5932511, 12.9551707], [77.5932403, 12.95518], [77.5932309, 12.9551875], [77.5930013, 12.9553664], [77.5929879, 12.9553671], [77.5928719, 12.9554602], [77.5928632, 12.9554599], [77.5928367, 12.9554821], [77.592825, 12.9554814], [77.5926952, 12.9555848], [77.5926944, 12.9556083], [77.5925923, 12.9556797], [77.5925844, 12.9556708], [77.5925235, 12.95572], [77.5925081, 12.9557082], [77.5925009, 12.9556896], [77.5925319, 12.9556784], [77.5925516, 12.9556562], [77.5925634, 12.9556342], [77.592578, 12.9556211], [77.5926187, 12.9556027]]]}"
way/1125877403,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6065011, 12.9748459], [77.6064528, 12.9746783], [77.6066049, 12.9746408], [77.6066481, 12.9748103], [77.6065011, 12.9748459]]]}"
way/1212362584,footway,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6917159, 12.9284143], [77.69182, 12.928254], [77.6918549, 12.9282124], [77.6919546, 12.9280932], [77.6922876, 12.9283649], [77.6922914, 12.9284071], [77.692297, 12.9284682], [77.6923028, 12.9285321], [77.6920658, 12.9285477], [77.6917286, 12.9285763], [77.6917188, 12.9284518], [77.6917159, 12.9284143]]]}"
way/1218820683,footway,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5732289, 12.9755069], [77.5732363, 12.9756001], [77.5732376, 12.9756169], [77.5718715, 12.9757234], [77.5718682, 12.9756827], [77.5718625, 12.9756134], [77.5728619, 12.9755355], [77.5728615, 12.9755173], [77.5728668, 12.9755173], [77.5728988, 12.9755169], [77.5729077, 12.9755168], [77.5729146, 12.9755167], [77.5729217, 12.9755166], [77.5729315, 12.9755165], [77.5729834, 12.9755159], [77.5730022, 12.9755156], [77.5730227, 12.9755154], [77.5730364, 12.9755152], [77.5730431, 12.9755151], [77.5730433, 12.9755214], [77.5732289, 12.9755069]]]}"
way/1220567452,footway,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5747016, 12.9676967], [77.5746299, 12.9677352], [77.5746144, 12.9677081], [77.5744949, 12.9674984], [77.5744481, 12.9674164], [77.5746134, 12.9674117], [77.5746134, 12.9674183], [77.5746138, 12.9674608], [77.5747056, 12.9674601], [77.5747053, 12.9674177], [77.5747801, 12.9674171], [77.5747814, 12.967564], [77.5746654, 12.9676333], [77.5747016, 12.9676967]]]}"
way/1223497723,footway,,,,paving_stones,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5808148, 12.919865], [77.5808141, 12.9198305], [77.5808135, 12.9197998], [77.5811894, 12.9197924], [77.5811901, 12.919827], [77.5811908, 12.9198577], [77.5808251, 12.9198648], [77.5808148, 12.919865]]]}"
way/1238874788,footway,,,,paving_stones,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.591089, 12.9777923], [77.5910841, 12.9778282], [77.5923306, 12.9790948], [77.5926875, 12.9794624], [77.5927024, 12.9794804], [77.5927125, 12.9794916], [77.5926693, 12.9795307], [77.5926632, 12.9795368], [77.5926422, 12.9795497], [77.5926218, 12.9795497], [77.5926081, 12.979544], [77.5921008, 12.9790197], [77.592075, 12.9789534], [77.5919829, 12.978858], [77.59191, 12.978822], [77.5915229, 12.9784225], [77.5909541, 12.9778248], [77.5909469, 12.9778013], [77.5909494, 12.9777628], [77.5909498, 12.9777175], [77.5909317, 12.9776918], [77.5909301, 12.9776661], [77.5909298, 12.9776573], [77.590938, 12.9776453], [77.59096, 12.9776271], [77.5909663, 12.9776356], [77.5909764, 12.9776489], [77.5910694, 12.9777674], [77.591089, 12.9777923]]]}"
way/1240253042,footway,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5728529, 12.9749783], [77.5730351, 12.9749751], [77.5730361, 12.9750386], [77.573007, 12.9750391], [77.5729885, 12.9750394], [77.5729695, 12.9750398], [77.572928, 12.9750405], [77.5729166, 12.9750407], [77.5729009, 12.975041], [77.5728878, 12.9750412], [77.5728779, 12.9750414], [77.5728539, 12.9750418], [77.5728529, 12.9749783]]]}"
way/1240447779,footway,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.595772, 12.9722574], [77.5957091, 12.9721135], [77.5960441, 12.9719744], [77.5963512, 12.9718469], [77.596422, 12.9720088], [77.5960753, 12.9721527], [77.596176, 12.9723754], [77.5961471, 12.9723879], [77.5961307, 12.9723478], [77.5961072, 12.9723112], [77.5960773, 12.9722793], [77.5960421, 12.9722532], [77.5960026, 12.9722336], [77.5959576, 12.9722208], [77.595911, 12.9722166], [77.5958644, 12.972221], [77.5958195, 12.972234], [77.595772, 12.9722574]]]}"
way/1240674148,footway,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6435013, 12.9493664], [77.643916, 12.9492847], [77.6438986, 12.9491622], [77.6438663, 12.9491729], [77.6437485, 12.9489078], [77.6440027, 12.948793], [77.644044, 12.948893], [77.6446592, 12.9486514], [77.6447227, 12.948805], [77.6441789, 12.9490186], [77.6443411, 12.949411], [77.6441333, 12.9494926], [77.6438181, 12.9496164], [77.6437417, 12.9496477], [77.6436974, 12.9495236], [77.6435257, 12.9495301], [77.6435013, 12.9493664]]]}"
way/1240674154,footway,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6436578, 12.9510057], [77.6431824, 12.950941], [77.6432005, 12.950726], [77.6436867, 12.9507012], [77.6436578, 12.9510057]]]}"
way/1241434297,footway,,,,concrete,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.7224048, 12.9817919], [77.7224062, 12.9817644], [77.7224189, 12.9817651], [77.7224202, 12.9817448], [77.7223525, 12.9817344], [77.7223565, 12.9817011], [77.7224229, 12.9817011], [77.7224249, 12.9816828], [77.7224068, 12.9816788], [77.7224156, 12.9816455], [77.7224591, 12.9816442], [77.7224585, 12.9816213], [77.7223988, 12.9816109], [77.7224062, 12.9815063], [77.7225388, 12.9815463], [77.7224956, 12.9816878], [77.7224612, 12.9818005], [77.7224048, 12.9817919]]]}"
